"","Species","Countries","Hosts","Isolates"
"1","Alanphillipsia aloeicola",1,1,1
"2","Alanphillipsia aloeigena",2,3,4
"3","Alanphillipsia aloes",1,1,1
"4","Alanphillipsia aloetica",1,1,1
"5","Alanphillipsia euphorbiae",1,1,1
"6","Barriopsis archontophoenicis",2,2,2
"7","Barriopsis iraniana",1,3,6
"8","Barriopsis sp.",1,2,3
"9","Barriopsis stevensiana",3,3,4
"10","Barriopsis tectonae",3,2,3
"11","Barriopsis thailandica",1,1,0
"12","Botryobambusa fusicoccum",1,1,3
"13","Botryobambusa guizhouensis",2,1,4
"14","Botryosphaeria agaves",7,3,5
"15","Botryosphaeria archontophoenicis",1,1,0
"16","Botryosphaeria berengeriana",1,1,1
"17","Botryosphaeria brunneispora",1,1,0
"18","Botryosphaeria corticis",3,4,7
"19","Botryosphaeria dolichospermatii",1,2,4
"20","Botryosphaeria dothidea",67,500,2743
"21","Botryosphaeria fabicerciana",7,21,87
"22","Botryosphaeria fujianensis",1,2,1
"23","Botryosphaeria guttulata",1,1,8
"24","Botryosphaeria kuwatsukai",3,24,40
"25","Botryosphaeria laricina",1,1,0
"26","Botryosphaeria puerensis",1,1,2
"27","Botryosphaeria qingyuanensis",2,3,4
"28","Botryosphaeria ramosa",4,8,19
"29","Botryosphaeria scharifii",4,3,17
"30","Botryosphaeria sp.",13,49,176
"31","Botryosphaeria tenuispora",1,2,2
"32","Cophinforma atrovirens",9,12,31
"33","Cophinforma mamane",8,15,46
"34","Cophinforma sp.",2,2,3
"35","Diplodia africana",9,17,37
"36","Diplodia afrocarpi",1,1,1
"37","Diplodia agrifolia",2,4,1
"38","Diplodia agrifoliae",2,3,5
"39","Diplodia alanphillipsii",1,1,1
"40","Diplodia allocellula",1,2,5
"41","Diplodia arengae",1,1,1
"42","Diplodia bulgarica",8,6,71
"43","Diplodia cajani",3,2,5
"44","Diplodia citricarpa",2,2,4
"45","Diplodia corticola",16,24,194
"46","Diplodia crataegicola",1,3,4
"47","Diplodia cupressi",7,4,6
"48","Diplodia eriobotryicola",1,2,2
"49","Diplodia estuarina",1,3,5
"50","Diplodia fici-septicae",1,1,2
"51","Diplodia fraxini",11,8,28
"52","Diplodia galiicola",2,3,2
"53","Diplodia gallae",5,6,13
"54","Diplodia juglandis",2,2,2
"55","Diplodia malorum",10,13,29
"56","Diplodia mutila",38,94,309
"57","Diplodia neojuniperi",5,3,8
"58","Diplodia olivarum",7,11,34
"59","Diplodia pseudoseriata",14,30,63
"60","Diplodia pterocarpi",2,3,2
"61","Diplodia quercicola",1,1,5
"62","Diplodia quercivora",4,6,19
"63","Diplodia rosulata",3,4,5
"64","Diplodia sapinea",67,128,480
"65","Diplodia scrobiculata",11,18,35
"66","Diplodia seriata",49,158,1371
"67","Diplodia sp.",18,20,74
"68","Diplodia subglobosa",3,3,4
"69","Diplodia tsugae",3,4,2
"70","Dothiorella acacicola",2,1,1
"71","Dothiorella acericola",1,2,7
"72","Dothiorella alpina",2,2,3
"73","Dothiorella brevicollis",2,1,3
"74","Dothiorella capri-amissi",1,1,3
"75","Dothiorella casuarinae",2,2,6
"76","Dothiorella citricola",2,3,4
"77","Dothiorella diospyricola",1,1,1
"78","Dothiorella gregaria",2,2,8
"79","Dothiorella iranica",2,2,0
"80","Dothiorella lampangensis",1,1,1
"81","Dothiorella longicollis",2,4,2
"82","Dothiorella magnoliae",1,1,2
"83","Dothiorella moneti",2,3,4
"84","Dothiorella oblonga",5,4,11
"85","Dothiorella ostryae",1,1,0
"86","Dothiorella plurivora",8,11,19
"87","Dothiorella pretoriensis",1,1,0
"88","Dothiorella prunicola",1,1,1
"89","Dothiorella rhamni",4,6,6
"90","Dothiorella rosulata",4,5,5
"91","Dothiorella santali",1,3,2
"92","Dothiorella sarmentorum",38,114,343
"93","Dothiorella sp.",17,34,74
"94","Dothiorella striata",2,3,3
"95","Dothiorella styphnolobii",1,1,2
"96","Dothiorella thailandica",1,1,1
"97","Dothiorella thripsita",1,1,1
"98","Dothiorella ulmacea",1,2,2
"99","Dothiorella uruguayensis",1,2,1
"100","Dothiorella vidmadera",7,9,8
"101","Dothiorella vinea-gemmae",2,3,2
"102","Dothiorella viticola",16,30,161
"103","Endomelanconiopsis endophytica",7,7,6
"104","Endomelanconiopsis freycinetiae",1,1,0
