"","Species","Genus","Countries","Hosts","Isolates","Host.fungus.report"
"1","Alanphillipsia aloeicola",NA,1,0,1,0
"2","Alanphillipsia aloeigena",NA,2,3,4,3
"3","Alanphillipsia aloes",NA,1,1,2,1
"4","Alanphillipsia aloetica",NA,1,0,1,0
"5","Alanphillipsia euphorbiae",NA,1,0,1,0
"6","Barriopsis archontophoenicis",NA,2,2,2,2
"7","Barriopsis iraniana",NA,1,1,6,1
"8","Barriopsis stevensiana",NA,3,0,3,0
"9","Barriopsis tectonae",NA,1,1,1,1
"10","Botryobambusa fusicoccum",NA,1,0,3,0
"11","Botryosphaeria agaves",NA,7,2,5,2
"12","Botryosphaeria auasmontanum",NA,3,3,4,3
"13","Botryosphaeria berengeriana",NA,1,0,1,0
"14","Botryosphaeria corticis",NA,3,3,7,3
"15","Botryosphaeria dolichospermatii",NA,1,1,3,1
"16","Botryosphaeria dothidea",NA,67,423,2367,423
"17","Botryosphaeria fabicerciana",NA,5,8,42,8
"18","Botryosphaeria fujianensis",NA,1,0,1,0
"19","Botryosphaeria fusispora",NA,5,7,29,7
"20","Botryosphaeria guttulata",NA,1,0,8,0
"21","Botryosphaeria kuwatsukai",NA,3,20,29,20
"22","Botryosphaeria laricina",NA,1,0,1,0
"23","Botryosphaeria minutispermatia",NA,1,0,5,0
"24","Botryosphaeria pseudoramosa",NA,1,1,12,1
"25","Botryosphaeria puerensis",NA,1,0,1,0
"26","Botryosphaeria qingyuanensis",NA,2,2,4,2
"27","Botryosphaeria quercuum",NA,1,0,1,0
"28","Botryosphaeria ramosa",NA,3,4,6,4
"29","Botryosphaeria rosaceae",NA,1,1,6,1
"30","Botryosphaeria scharifii",NA,4,2,17,2
"31","Botryosphaeria sinensia",NA,5,9,28,9
"32","Botryosphaeria tenuispora",NA,1,2,2,2
"33","Botryosphaeria wangensis",NA,1,2,45,2
"34","Cophinforma atrovirens",NA,9,10,31,10
"35","Cophinforma mamane",NA,8,11,46,11
"36","Diplodia africana",NA,9,15,35,15
"37","Diplodia agrifoliae",NA,0,0,5,0
"38","Diplodia alatafructa",NA,5,4,9,4
"39","Diplodia allocellula",NA,1,2,5,2
"40","Diplodia arengae",NA,1,1,1,1
"41","Diplodia bulgarica",NA,7,4,64,4
"42","Diplodia cajani",NA,2,1,3,1
"43","Diplodia citricarpa",NA,2,0,4,0
"44","Diplodia corticola",NA,15,20,149,20
"45","Diplodia crataegicola",NA,1,0,4,0
"46","Diplodia cupressi",NA,6,2,1,2
"47","Diplodia eriobotryicola",NA,1,1,2,1
"48","Diplodia estuarina",NA,1,3,5,3
"49","Diplodia fraxini",NA,11,6,28,6
"50","Diplodia galiicola",NA,2,0,2,0
"51","Diplodia gallae",NA,3,4,8,4
"52","Diplodia huaxii",NA,1,0,3,0
"53","Diplodia insularis",NA,4,4,5,4
"54","Diplodia intermedia",NA,6,8,19,8
"55","Diplodia italica",NA,2,1,2,1
"56","Diplodia juglandis",NA,1,0,1,0
"57","Diplodia magnoliigena",NA,1,1,1,1
"58","Diplodia malorum",NA,10,11,29,11
"59","Diplodia mutila",NA,38,73,271,73
"60","Diplodia neojuniperi",NA,2,1,5,1
"61","Diplodia olivarum",NA,7,10,34,10
"62","Diplodia pseudoplatani",NA,1,0,1,0
"63","Diplodia pseudoseriata",NA,9,21,43,21
"64","Diplodia pterocarpi",NA,2,2,2,2
"65","Diplodia pyri",NA,5,5,5,5
"66","Diplodia quercicola",NA,1,1,5,1
"67","Diplodia quercivora",NA,4,4,9,4
"68","Diplodia rosacearum",NA,5,4,7,4
"69","Diplodia rosulata",NA,3,3,5,3
"70","Diplodia sapinea",NA,66,103,410,103
"71","Diplodia scrobiculata",NA,11,16,35,16
"72","Diplodia seriata",NA,48,128,1289,128
"73","Diplodia subglobosa",NA,3,3,4,3
"74","Diplodia tsugae",NA,3,3,2,3
"75","Dothiorella acacicola",NA,2,1,1,1
"76","Dothiorella americana",NA,1,1,3,1
"77","Dothiorella brevicollis",NA,2,1,2,1
"78","Dothiorella californica",NA,2,2,9,2
"79","Dothiorella capri-amissi",NA,1,1,3,1
"80","Dothiorella casuarinae",NA,2,0,5,0
"81","Dothiorella citricola",NA,2,2,3,2
"82","Dothiorella diospyricola",NA,1,1,1,1
"83","Dothiorella dulcispinae",NA,2,2,3,2
"84","Dothiorella eriobotryae",NA,2,2,2,2
"85","Dothiorella guttulata",NA,2,3,3,3
"86","Dothiorella iberica",NA,13,25,122,25
"87","Dothiorella italica",NA,4,7,12,7
"88","Dothiorella lampangensis",NA,1,0,1,0
"89","Dothiorella longicollis",NA,1,1,1,1
"90","Dothiorella magnoliae",NA,1,1,2,1
"91","Dothiorella mangifericola",NA,2,1,4,1
"92","Dothiorella moneti",NA,2,1,4,1
"93","Dothiorella oblonga",NA,4,3,6,3
"94","Dothiorella omnivora",NA,10,11,20,11
"95","Dothiorella parva",NA,6,4,20,4
"96","Dothiorella plurivora",NA,8,7,17,7
"97","Dothiorella prunicola",NA,1,1,1,1
"98","Dothiorella rhamni",NA,2,4,4,4
"99","Dothiorella santali",NA,1,2,2,2
"100","Dothiorella sarmentorum",NA,28,60,106,60
"101","Dothiorella sempervirentis",NA,2,2,4,2
"102","Dothiorella striata",NA,1,1,1,1
"103","Dothiorella styphnolobii",NA,1,1,2,1
"104","Dothiorella symphoricarposicola",NA,3,10,19,10
"105","Dothiorella thailandica",NA,1,0,1,0
"106","Dothiorella thripsita",NA,1,1,1,1
"107","Dothiorella ulmacea",NA,1,1,1,1
"108","Dothiorella uruguayensis",NA,1,1,1,1
"109","Dothiorella vidmadera",NA,7,8,8,8
"110","Dothiorella vinea-gemmae",NA,2,2,2,2
"111","Dothiorella viticola",NA,15,24,119,24
"112","Dothiorella westralis",NA,2,1,1,1
"113","Endomelanconiopsis endophytica",NA,6,5,7,5
"114","Eutiarosporella darliae",NA,1,1,5,1
"115","Eutiarosporella tritici",NA,1,1,1,1
