"","Species","Genus","Countries","Hosts","Isolates","Host.fungus.report"
"1","Botryobambusa fusicoccum","Botryobambusa",1,0,1,0
"2","Lasiodiplodia lignicola","Lasiodiplodia",3,2,0,1
"3","Lasiodiplodia macroconidia","Lasiodiplodia",1,1,0,1
"4","Lasiodiplodia tenuiconidia","Lasiodiplodia",1,1,0,1
"5","Lasiodiplodia laeliocattleyae","Lasiodiplodia",7,9,1,22
"6","Lasiodiplodia subglobosa","Lasiodiplodia",3,8,1,15
"7","Lasiodiplodia hyalina","Lasiodiplodia",2,1,1,2
"8","Lasiodiplodia curvata","Lasiodiplodia",1,1,1,1
"9","Lasiodiplodia laosensis","Lasiodiplodia",1,1,1,1
"10","Lasiodiplodia avicenniarum","Lasiodiplodia",1,1,1,0
"11","Lasiodiplodia endophytica","Lasiodiplodia",1,1,1,0
"12","Lasiodiplodia magnoliae","Lasiodiplodia",1,1,1,0
"13","Lasiodiplodia microcondia","Lasiodiplodia",1,1,1,0
"14","Lasiodiplodia swieteniae","Lasiodiplodia",1,1,1,0
"15","Lasiodiplodia chonburiensis","Lasiodiplodia",1,0,1,0
"16","Lasiodiplodia indica","Lasiodiplodia",1,0,1,0
"17","Lasiodiplodia krabiensis","Lasiodiplodia",1,0,1,0
"18","Lasiodiplodia pandanicola","Lasiodiplodia",1,0,1,0
"19","Lasiodiplodia plurivora","Lasiodiplodia",3,2,2,28
"20","Lasiodiplodia viticola","Lasiodiplodia",7,3,2,13
"21","Lasiodiplodia marypalmiae","Lasiodiplodia",1,1,2,2
"22","Lasiodiplodia vaccinii","Lasiodiplodia",1,2,2,1
"23","Lasiodiplodia aquilariae","Lasiodiplodia",1,1,2,1
"24","Lasiodiplodia cinnamomi","Lasiodiplodia",1,1,2,1
"25","Lasiodiplodia irregularis","Lasiodiplodia",1,1,2,1
"26","Lasiodiplodia gravistriata","Lasiodiplodia",1,1,3,7
"27","Lasiodiplodia avicenniae","Lasiodiplodia",1,1,3,6
"28","Lasiodiplodia sterculiae","Lasiodiplodia",2,2,3,4
"29","Lasiodiplodia rubropurpurea","Lasiodiplodia",5,3,4,28
"30","Lasiodiplodia mahajangana","Lasiodiplodia",6,14,5,25
"31","Lasiodiplodia mediterranea","Lasiodiplodia",4,4,5,11
"32","Lasiodiplodia gilanensis","Lasiodiplodia",4,5,5,5
"33","Lasiodiplodia chinensis","Lasiodiplodia",1,5,5,3
"34","Lasiodiplodia vitis","Lasiodiplodia",1,1,5,0
"35","Lasiodiplodia venezuelensis","Lasiodiplodia",2,4,6,30
"36","Lasiodiplodia thailandica","Lasiodiplodia",2,5,8,9
"37","Lasiodiplodia bruguierae","Lasiodiplodia",1,1,8,6
"38","Lasiodiplodia tropica","Lasiodiplodia",1,1,8,1
"39","Lasiodiplodia euphorbicola","Lasiodiplodia",11,10,10,15
"40","Lasiodiplodia missouriana","Lasiodiplodia",3,2,11,10
"41","Lasiodiplodia hormozganensis","Lasiodiplodia",12,17,15,26
"42","Lasiodiplodia pyriformis","Lasiodiplodia",1,1,17,10
"43","Lasiodiplodia caatinguensis","Lasiodiplodia",2,7,17,8
"44","Lasiodiplodia citricola","Lasiodiplodia",7,6,19,10
"45","Lasiodiplodia gonubiensis","Lasiodiplodia",8,14,43,42
"46","Lasiodiplodia pontae","Lasiodiplodia",1,1,51,7
"47","Lasiodiplodia brasiliensis","Lasiodiplodia",14,21,52,24
"48","Lasiodiplodia parva","Lasiodiplodia",14,16,65,21
"49","Lasiodiplodia crassispora","Lasiodiplodia",12,16,79,39
"50","Lasiodiplodia macrospora","Lasiodiplodia",1,1,88,13
"51","Lasiodiplodia exigua","Lasiodiplodia",10,11,105,15
"52","Lasiodiplodia pseudotheobromae","Lasiodiplodia",44,124,113,77
"53","Lasiodiplodia margaritacea","Lasiodiplodia",6,8,152,26
"54","Lasiodiplodia iranensis","Lasiodiplodia",23,35,260,38
"55","Lasiodiplodia theobromae","Lasiodiplodia",97,666,1944,365
"56","Neofusicoccum pistaciae","Neofusicoccum",1,1,0,3
"57","Neofusicoccum sinoeucalypti","Neofusicoccum",2,1,0,1
"58","Neofusicoccum variabile","Neofusicoccum",1,1,0,1
"59","Neofusicoccum eucalypti","Neofusicoccum",1,0,0,0
"60","Neofusicoccum sinense","Neofusicoccum",1,0,0,0
"61","Neofusicoccum macroclavatum","Neofusicoccum",3,5,1,16
"62","Neofusicoccum buxi","Neofusicoccum",2,1,1,3
"63","Neofusicoccum italicum","Neofusicoccum",3,2,1,2
"64","Neofusicoccum pistaciicola","Neofusicoccum",1,1,1,1
"65","Neofusicoccum ursorum","Neofusicoccum",2,0,1,0
"66","Neofusicoccum pandanicola","Neofusicoccum",1,0,1,0
"67","Neofusicoccum microconidium","Neofusicoccum",1,1,2,1
"68","Neofusicoccum versiforme","Neofusicoccum",1,1,2,1
"69","Neofusicoccum nonquaesitum","Neofusicoccum",3,11,3,19
"70","Neofusicoccum corticosae","Neofusicoccum",1,2,3,4
"71","Neofusicoccum lumnitzerae","Neofusicoccum",1,2,3,4
"72","Neofusicoccum hongkongense","Neofusicoccum",1,1,3,1
"73","Neofusicoccum andinum","Neofusicoccum",3,1,3,0
"74","Neofusicoccum brasiliense","Neofusicoccum",3,5,4,10
"75","Neofusicoccum batangarum","Neofusicoccum",8,12,5,21
"76","Neofusicoccum mangroviorum","Neofusicoccum",2,7,5,8
"77","Neofusicoccum illicii","Neofusicoccum",1,1,5,2
"78","Neofusicoccum pruni","Neofusicoccum",1,1,5,1
"79","Neofusicoccum grevilleae","Neofusicoccum",2,2,6,7
"80","Neofusicoccum arbuti","Neofusicoccum",4,10,7,17
"81","Neofusicoccum kwambonambiense","Neofusicoccum",12,28,10,32
"82","Neofusicoccum occulatum","Neofusicoccum",6,15,13,13
"83","Neofusicoccum stellenboschiana","Neofusicoccum",5,7,14,5
"84","Neofusicoccum hellenicum","Neofusicoccum",2,1,14,5
