,Genus_Organism,Current_name_reviewed_AA,strain,ITS,TEF,TUB,rpb2,MAT1,MAT2,Genus_Host,Species_Host,Country,Title
1,Alanphillipsia,Alanphillipsia aloeicola,CBS138896,NR_137926,NA,NA,NA,NA,NA,Aloe,Aloe sp.,South Africa,Direct Submission
2,Alanphillipsia,Alanphillipsia aloeigena,CBS136408,NR_137121,NA,NA,KX463943,NA,NA,Aloe,Aloe melanacantha,South Africa,"Families, genera, and species of Botryosphaeriales"
3,Alanphillipsia,Alanphillipsia aloetica,CBS136409,NR_137123,NA,NA,NA,NA,NA,Aloe,Aloe sp.,South Africa,Fungal Planet description sheets 154-213: Higher order classification of taxonomic novelties
4,Alanphillipsia,Alanphillipsia aloes,CBS136410,KF777138,NA,NA,KX463944,NA,NA,Aloidendron,Aloidendron dichotomum,South Africa,"Families, genera, and species of Botryosphaeriales"
5,Alanphillipsia,Alanphillipsia aloes,CBS136410,NR_137122,NA,NA,KX463944,NA,NA,Aloidendron,Aloidendron dichotomum,South Africa,"Families, genera, and species of Botryosphaeriales"
6,Alanphillipsia,Alanphillipsia euphorbiae,CBS136411,NR_137124,NA,NA,NA,NA,NA,Euphorbia,Euphorbia sp.,South Africa,Fungal Planet description sheets 154-213: Higher order classification of taxonomic novelties
7,Barriopsis,Barriopsis sp.,1118AMSTITWLS,KJ756382,NA,NA,NA,NA,NA,Aegle,Aegle marmelos,India,Barriopsis sp. from Western Ghats of India
8,Barriopsis,Barriopsis sp.,1111AMSTITWLS,KJ756383,NA,NA,NA,NA,NA,Aegle,Aegle marmelos,India,Barriopsis sp. from Western Ghats of India
9,Barriopsis,Barriopsis archontophoenicis,MFLUCC14_1164,NR_153625,KX235305,NA,NA,NA,NA,Archontophoenix,Archontophoenix alexandrae,Thailand,"Botryosphaeriaceae from palms in Thailand - Barriopsis archontophoenicis sp. nov, from Archontophoenix alexandrae"
10,Barriopsis,Barriopsis stevensiana,MFLUCC_11_0420,MN582740,NA,NA,NA,NA,NA,Cassia,Cassia sp.,NA,AJOM new records and collections of fungi: 1-100
11,Barriopsis,Barriopsis iraniana,IRAN1452C,FJ919666,FJ919655,NA,NA,NA,NA,Citrus,Citrus sp.,"Iran, Islamic Republic of",Barriopsis iraniana and Phaeobotryon cupressi: two new species of the Botryosphaeriaceae from trees in Iran
12,Barriopsis,Barriopsis iraniana,IRAN1450C,FJ919667,FJ919656,NA,NA,NA,NA,Citrus,Citrus sp.,"Iran, Islamic Republic of",Barriopsis iraniana and Phaeobotryon cupressi: two new species of the Botryosphaeriaceae from trees in Iran
13,Barriopsis,Barriopsis iraniana,IRAN1451C,FJ919668,FJ919657,NA,NA,NA,NA,Citrus,Citrus sp.,"Iran, Islamic Republic of",Barriopsis iraniana and Phaeobotryon cupressi: two new species of the Botryosphaeriaceae from trees in Iran
14,Barriopsis,Barriopsis stevensiana,CBS174.26,EU673330,EU673296,EU673109,NA,NA,NA,Citrus,Citrus sp.,Cuba,Resolving the phylogenetic and taxonomic status of dark-spored teleomorph genera in the Botryosphaeriaceae
15,Barriopsis,Barriopsis stevensiana,CBS174.26,MH854882,KF766395,EU673109,NA,NA,NA,Citrus,Citrus sp.,Cuba,Resolving the phylogenetic and taxonomic status of dark-spored teleomorph genera in the Botryosphaeriaceae
16,Barriopsis,Barriopsis iraniana,CBS124698,NR_137030,FJ919652,KF766127,KX463949,NA,NA,Mangifera,Mangifera indica,"Iran, Islamic Republic of","Families, genera, and species of Botryosphaeriales"
17,Barriopsis,Barriopsis iraniana,IRAN1453C,FJ919664,FJ919653,NA,NA,NA,NA,Mangifera,Mangifera indica,"Iran, Islamic Republic of",Barriopsis iraniana and Phaeobotryon cupressi: two new species of the Botryosphaeriaceae from trees in Iran
18,Barriopsis,Barriopsis sp.,BAB_4542,KT192566,NA,NA,NA,NA,NA,NA,NA,India,ITS1 and ITS2 ribosomal RNA gene profiling of isolates from Microbial Repository of Biodiversity Gene Bank of Gujarat State Biotechnology Mission
19,Barriopsis,Barriopsis iraniana,CBS124699,FJ919665,FJ919654,KX464780,KX463950,NA,NA,Olea,Olea sp.,"Iran, Islamic Republic of","Families, genera, and species of Botryosphaeriales"
20,Barriopsis,Barriopsis tectonae,MFLUCC12_0381,NR_137616,KJ556516,KJ556517,NA,NA,NA,Tectona,Tectona grandis,Thailand,Barriopsis tectonae sp. nov. a new species of Botryosphaeriaceae from Tectona grandis (teak) in Thailand
21,Botryobambusa,Botryobambusa fusicoccum,CBS134113,JX646792,JX646857,NA,NA,NA,NA,Bambusa,Bambusa sp.,Thailand,Towards a natural classification of Botryosphaeriales
22,Botryobambusa,Botryobambusa fusicoccum,MFLUCC11_0143,NR_111793,JX646857,NA,NA,NA,NA,Bambusa,Bambusa sp.,Thailand,Towards a natural classification of Botryosphaeriales
23,Botryobambusa,Botryobambusa fusicoccum,MFLUCC11_0657,JX646793,JX646858,NA,NA,NA,NA,Bambusa,Bambusa sp.,Thailand,Towards a natural classification of Botryosphaeriales
24,Botryosphaeria,Botryosphaeria agaves,CPC26299,KX306750,NA,NA,NA,NA,NA,Agave,Agave sp.,France,Fungal Systematics and Evolution: FUSE 2
25,Botryosphaeria,Botryosphaeria agaves,CBS133992,JX646791,JX646856,JX646841,NA,NA,NA,Agave,Agave sp.,Thailand,Towards a natural classification of Botryosphaeriales
26,Botryosphaeria,Botryosphaeria agaves,MFLUCC10_0051,JX646790,JX646855,JX646840,NA,NA,NA,Agave,Agave sp.,Thailand,Towards a natural classification of Botryosphaeriales
27,Botryosphaeria,Botryosphaeria agaves,KB2,KX443638,NA,NA,NA,NA,NA,Furcraea,Furcraea foetida,Malaysia,First report of Botryosphaeria agave on Furcraea foetida in Malaysia
28,Botryosphaeria,Botryosphaeria auasmontanum,26,MK300004,NA,NA,NA,NA,NA,NA,NA,NA,Identification of fungal endophyte herb in mazandaran provine
29,Botryosphaeria,Botryosphaeria auasmontanum,CBS121769,KF766167,EU101348,NA,NA,NA,NA,Senegalia,Senegalia mellifera,Namibia,Botryosphaeriaceae associated with Acacia mellifera and other native Acacia spp. in South Africa and Namibia
30,Botryosphaeria,Botryosphaeria auasmontanum,MFLUCC_171071,MF398863,MF398915,NA,NA,NA,NA,Alnus,Alnus cordata,Italy,"Saprobic Botryosphaeriaceae, including Dothiorella italica sp. nov., associated with urban and forest trees in Italy"
31,Botryosphaeria,Botryosphaeria auasmontanum,MFLUCC_150923,MF398858,MF398910,NA,NA,NA,NA,Rosa,Rosa canina,Italy,"Saprobic Botryosphaeriaceae, including Dothiorella italica sp. nov., associated with urban and forest trees in Italy"
32,Botryosphaeria,Botryosphaeria berengeriana,MICH13862,KY964329,NA,KY964332,NA,NA,NA,NA,NA,Russian Federation,Toward a natural classification of Botryosphaeriaceae: a type study of Botryosphaeria sensu lato
33,Botryosphaeria,Botryosphaeria corticis,ATCC22927,DQ299247,EF614931,EU673108,NA,NA,NA,Vaccinium,Vaccinium sp.,United States of America,Resolving the phylogenetic and taxonomic status of dark-spored teleomorph genera in the Botryosphaeriaceae
